"cohort_month","month_number","active_customers","retention_pct"
"2010-12-01 00:00:00",0,948,100.0
"2010-12-01 00:00:00",1,362,38.2
"2010-12-01 00:00:00",2,317,33.4
"2010-12-01 00:00:00",3,367,38.7
"2010-12-01 00:00:00",4,341,36.0
"2010-12-01 00:00:00",5,376,39.7
"2010-12-01 00:00:00",6,360,38.0
"2010-12-01 00:00:00",7,336,35.4
"2010-12-01 00:00:00",8,336,35.4
"2010-12-01 00:00:00",9,374,39.5
"2010-12-01 00:00:00",10,354,37.3
"2010-12-01 00:00:00",11,474,50.0
"2010-12-01 00:00:00",12,260,27.4
"2011-01-01 00:00:00",0,421,100.0
"2011-01-01 00:00:00",1,101,24.0
"2011-01-01 00:00:00",2,119,28.3
"2011-01-01 00:00:00",3,102,24.2
"2011-01-01 00:00:00",4,138,32.8
"2011-01-01 00:00:00",5,126,29.9
"2011-01-01 00:00:00",6,110,26.1
"2011-01-01 00:00:00",7,108,25.7
"2011-01-01 00:00:00",8,131,31.1
"2011-01-01 00:00:00",9,146,34.7
"2011-01-01 00:00:00",10,155,36.8
"2011-01-01 00:00:00",11,63,15.0
"2011-02-01 00:00:00",0,380,100.0
"2011-02-01 00:00:00",1,94,24.7
"2011-02-01 00:00:00",2,73,19.2
"2011-02-01 00:00:00",3,106,27.9
"2011-02-01 00:00:00",4,102,26.8
"2011-02-01 00:00:00",5,94,24.7
"2011-02-01 00:00:00",6,97,25.5
"2011-02-01 00:00:00",7,107,28.2
"2011-02-01 00:00:00",8,98,25.8
"2011-02-01 00:00:00",9,119,31.3
"2011-02-01 00:00:00",10,35,9.2
"2011-03-01 00:00:00",0,440,100.0
"2011-03-01 00:00:00",1,84,19.1
"2011-03-01 00:00:00",2,112,25.5
"2011-03-01 00:00:00",3,96,21.8
"2011-03-01 00:00:00",4,102,23.2
"2011-03-01 00:00:00",5,78,17.7
"2011-03-01 00:00:00",6,116,26.4
"2011-03-01 00:00:00",7,105,23.9
"2011-03-01 00:00:00",8,127,28.9
"2011-03-01 00:00:00",9,39,8.9
"2011-04-01 00:00:00",0,299,100.0
"2011-04-01 00:00:00",1,68,22.7
"2011-04-01 00:00:00",2,66,22.1
"2011-04-01 00:00:00",3,63,21.1
"2011-04-01 00:00:00",4,62,20.7
"2011-04-01 00:00:00",5,71,23.7
"2011-04-01 00:00:00",6,69,23.1
"2011-04-01 00:00:00",7,78,26.1
"2011-04-01 00:00:00",8,25,8.4
"2011-05-01 00:00:00",0,279,100.0
"2011-05-01 00:00:00",1,66,23.7
"2011-05-01 00:00:00",2,48,17.2
"2011-05-01 00:00:00",3,48,17.2
"2011-05-01 00:00:00",4,60,21.5
"2011-05-01 00:00:00",5,68,24.4
"2011-05-01 00:00:00",6,74,26.5
"2011-05-01 00:00:00",7,29,10.4
"2011-06-01 00:00:00",0,235,100.0
"2011-06-01 00:00:00",1,49,20.9
"2011-06-01 00:00:00",2,44,18.7
"2011-06-01 00:00:00",3,64,27.2
"2011-06-01 00:00:00",4,58,24.7
"2011-06-01 00:00:00",5,79,33.6
"2011-06-01 00:00:00",6,24,10.2
"2011-07-01 00:00:00",0,191,100.0
"2011-07-01 00:00:00",1,40,20.9
"2011-07-01 00:00:00",2,39,20.4
"2011-07-01 00:00:00",3,44,23.0
"2011-07-01 00:00:00",4,52,27.2
"2011-07-01 00:00:00",5,22,11.5
"2011-08-01 00:00:00",0,167,100.0
"2011-08-01 00:00:00",1,42,25.1
"2011-08-01 00:00:00",2,42,25.1
"2011-08-01 00:00:00",3,42,25.1
"2011-08-01 00:00:00",4,23,13.8
"2011-09-01 00:00:00",0,298,100.0
"2011-09-01 00:00:00",1,89,29.9
"2011-09-01 00:00:00",2,97,32.6
"2011-09-01 00:00:00",3,36,12.1
"2011-10-01 00:00:00",0,352,100.0
"2011-10-01 00:00:00",1,93,26.4
"2011-10-01 00:00:00",2,46,13.1
"2011-11-01 00:00:00",0,321,100.0
"2011-11-01 00:00:00",1,43,13.4
"2011-12-01 00:00:00",0,41,100.0
